000000 Errors: L1: 2.216e-03, L2: 2.187e-03, BCE: 7.874e-02, Same sim: 9.125e-01 +/- 2.825e-01, Diff sim: 1.136e-03 +/- 3.326e-02, 
000001 Errors: L1: 6.820e-03, L2: 5.560e-03, BCE: 1.662e-01, Same sim: 7.767e-01 +/- 4.146e-01, Diff sim: 4.080e-03 +/- 5.298e-02, 
000002 Errors: L1: 3.770e-03, L2: 3.750e-03, BCE: 1.290e-01, Same sim: 8.500e-01 +/- 3.570e-01, Diff sim: 1.919e-03 +/- 4.353e-02, 
000003 Errors: L1: 1.222e-02, L2: 1.211e-02, BCE: 4.025e-01, Same sim: 5.156e-01 +/- 4.996e-01, Diff sim: 6.241e-03 +/- 7.804e-02, 
000004 Errors: L1: 3.218e-03, L2: 3.203e-03, BCE: 1.168e-01, Same sim: 8.719e-01 +/- 3.342e-01, Diff sim: 1.636e-03 +/- 4.024e-02, 
000005 Errors: L1: 4.316e-03, L2: 4.296e-03, BCE: 1.495e-01, Same sim: 8.281e-01 +/- 3.772e-01, Diff sim: 2.195e-03 +/- 4.659e-02, 
000006 Errors: L1: 4.434e-03, L2: 4.414e-03, BCE: 1.579e-01, Same sim: 8.234e-01 +/- 3.813e-01, Diff sim: 2.255e-03 +/- 4.722e-02, 
000007 Errors: L1: 1.356e-02, L2: 1.206e-02, BCE: 3.745e-01, Same sim: 5.160e-01 +/- 4.978e-01, Diff sim: 7.606e-03 +/- 7.781e-02, 
000008 Errors: L1: 2.405e-03, L2: 2.382e-03, BCE: 7.739e-02, Same sim: 9.047e-01 +/- 2.936e-01, Diff sim: 1.229e-03 +/- 3.471e-02, 
000009 Errors: L1: 1.113e-03, L2: 1.094e-03, BCE: 3.756e-02, Same sim: 9.562e-01 +/- 2.045e-01, Diff sim: 5.732e-04 +/- 2.352e-02, 
000010 Errors: L1: 1.147e-02, L2: 1.136e-02, BCE: 3.670e-01, Same sim: 5.453e-01 +/- 4.978e-01, Diff sim: 5.863e-03 +/- 7.563e-02, 
000011 Errors: L1: 2.083e-02, L2: 1.708e-02, BCE: 5.568e-01, Same sim: 3.166e-01 +/- 4.613e-01, Diff sim: 1.244e-02 +/- 9.238e-02, 
000012 Errors: L1: 1.218e-02, L2: 1.211e-02, BCE: 3.989e-01, Same sim: 5.156e-01 +/- 4.997e-01, Diff sim: 6.199e-03 +/- 7.805e-02, 
000013 Errors: L1: 7.590e-04, L2: 7.421e-04, BCE: 2.655e-02, Same sim: 9.703e-01 +/- 1.697e-01, Diff sim: 3.926e-04 +/- 1.938e-02, 
000014 Errors: L1: 1.211e-02, L2: 1.207e-02, BCE: 4.073e-01, Same sim: 5.172e-01 +/- 4.997e-01, Diff sim: 6.153e-03 +/- 7.793e-02, 
000015 Errors: L1: 1.782e-03, L2: 1.758e-03, BCE: 5.844e-02, Same sim: 9.297e-01 +/- 2.556e-01, Diff sim: 9.147e-04 +/- 2.982e-02, 
000016 Errors: L1: 9.462e-03, L2: 9.413e-03, BCE: 3.101e-01, Same sim: 6.234e-01 +/- 4.845e-01, Diff sim: 4.815e-03 +/- 6.887e-02, 
000017 Errors: L1: 1.014e-02, L2: 1.008e-02, BCE: 3.409e-01, Same sim: 5.969e-01 +/- 4.905e-01, Diff sim: 5.162e-03 +/- 7.124e-02, 
000018 Errors: L1: 2.198e-03, L2: 2.187e-03, BCE: 7.777e-02, Same sim: 9.125e-01 +/- 2.826e-01, Diff sim: 1.118e-03 +/- 3.326e-02, 
000019 Errors: L1: 3.845e-03, L2: 3.828e-03, BCE: 1.215e-01, Same sim: 8.469e-01 +/- 3.601e-01, Diff sim: 1.955e-03 +/- 4.398e-02, 
000020 Errors: L1: 1.101e-02, L2: 1.098e-02, BCE: 3.578e-01, Same sim: 5.609e-01 +/- 4.962e-01, Diff sim: 5.591e-03 +/- 7.434e-02, 
